Parsed 268 entries.

Verdict counts: {'EFFECTIVE': 167, 'BEHAVIOR_FAIL': 52, 'EXCEPTION': 23, 'REASONABLE': 26}
  BEHAVIOR_FAIL      n= 52 region_size: min=1 max=8 mean=3.62 median=3.0
  EFFECTIVE          n=167 region_size: min=1 max=10 mean=4.79 median=4
  EXCEPTION          n= 23 region_size: min=2 max=12 mean=4.04 median=3
  REASONABLE         n= 26 region_size: min=1 max=9 mean=4.19 median=4.0

--- All entries sorted by region_size DESC ---
  #  verdict              rsz       SER     beh  host -> donor
 18  EFFECTIVE              5    0.5000   0.344  ec -> power_method
 27  EFFECTIVE              5    0.8125   1.000  algo_0c088d79 -> kaczmarz
 29  EFFECTIVE              5    0.8750   0.984  particle_filter -> algo_285847f2
 37  BEHAVIOR_FAIL          5    0.1875   0.000  algo_9af87a57 -> three_stage
  1  EFFECTIVE              5    0.6875   0.219  sparse_detect -> pcg
  3  EXCEPTION              5    0.6875   0.000  sparse_detect -> algo_d9773271
  1  EXCEPTION              5    0.4375   0.000  kbest -> greedy
  2  EFFECTIVE              5    0.0000   0.281  osic -> feedback_sic
 11  EFFECTIVE              5    0.9375   0.914  particle_filter -> linear_solve_wrap
 15  BEHAVIOR_FAIL          5    0.0000   0.000  kbest -> steepest_desc
 43  REASONABLE             5    0.5625   0.484  layer_peeling -> divide_conquer
  3  EFFECTIVE              4    0.1875   0.109  turbo_linear -> algo_3338d4b4
  5  EFFECTIVE              4    0.2500   0.117  kaczmarz -> algo_3db5157c
  8  EFFECTIVE              4    0.3125   0.805  landweber -> algo_0b224ada
 22  EFFECTIVE              4    0.5625   0.844  sa -> cimmino
 24  EFFECTIVE              4    0.5625   0.688  algo_7e5fb4bc -> ssor
 28  EFFECTIVE              4    0.8750   0.305  diag_dominant -> precond_solve_wrap
 31  EFFECTIVE              4    0.8750   0.883  diag_dominant -> map_relaxation
 35  BEHAVIOR_FAIL          4    0.1875   0.000  algo_c46b3e60 -> algo_d557f995
 17  EFFECTIVE              4    0.4375   0.250  algo_4d837773 -> pcg
 21  EFFECTIVE              4    0.5000   0.680  reg_solve_wrap -> iter_refine
 22  EFFECTIVE              4    0.5000   0.695  residual_net -> minres
 24  EFFECTIVE              4    0.5625   0.875  richardson -> algo_f7d98b04
 25  EFFECTIVE              4    0.5625   0.859  overrelax -> reactive_tabu
 26  EFFECTIVE              4    0.5625   1.000  power_method -> algo_ef0473fe
 29  EFFECTIVE              4    0.5625   1.000  power_method -> ordering_detect
 30  EFFECTIVE              4    0.5625   1.000  algo_de98579d -> algo_95ebe172
 33  EFFECTIVE              4    0.5625   0.922  multi_restart -> stack
  3  EFFECTIVE              4    0.4375   0.344  richardson -> pcg
  9  EFFECTIVE              4    0.4375   0.250  turbo_linear -> mf_detect
 10  EFFECTIVE              4    0.4375   0.250  turbo_linear -> algo_12e50642
 19  EFFECTIVE              4    0.5625   0.875  richardson -> penalty
 29  EFFECTIVE              4    0.6250   0.750  zf -> soft_sic
 30  EFFECTIVE              4    0.6250   0.836  richardson -> steepest_desc
 31  EFFECTIVE              4    0.6250   0.672  tabu -> algo_7373f4b8
 33  EFFECTIVE              4    0.6250   0.688  soft_sic -> algo_e9a16de1
